iter	Passed	Remaining
478	608	662
479	609	660
480	610	659
481	611	657
482	613	656
483	614	654
484	615	653
485	616	651
486	617	650
487	618	648
488	619	647
489	620	646
490	622	644
491	623	643
492	624	642
493	625	640
494	626	639
495	627	637
496	628	636
497	629	634
498	630	632
499	631	631
500	631	629
501	632	627
502	633	626
503	634	624
504	635	623
505	636	621
506	637	620
507	638	618
508	639	617
509	640	615
510	641	614
511	643	612
512	644	611
513	645	610
514	646	608
515	647	607
516	648	606
517	649	604
518	651	603
519	652	602
520	653	601
521	654	599
522	655	597
523	656	596
524	658	595
525	659	593
526	660	592
527	661	591
528	662	590
529	664	588
530	665	587
531	666	586
532	668	585
533	669	584
534	670	583
535	672	581
536	673	580
537	674	578
538	675	577
539	676	575
540	677	574
541	678	572
542	679	571
543	680	570
544	681	569
545	683	568
546	684	566
547	686	565
548	687	564
549	688	563
550	689	562
551	691	560
552	692	559
553	693	558
554	694	556
555	695	555
556	696	554
557	698	553
558	699	552
559	700	550
560	702	549
561	703	547
562	704	546
563	704	544
564	705	543
565	706	542
566	707	540
567	709	539
568	710	538
569	711	537
570	713	535
571	714	534
572	715	533
573	716	532
574	717	530
575	718	529
576	719	527
577	720	526
578	721	524
579	722	523
580	723	521
581	724	520
582	725	519
583	726	517
584	727	516
585	729	515
586	730	513
587	730	512
588	731	510
589	733	509
590	734	508
591	735	506
592	736	505
593	738	504
594	739	503
595	740	502
596	741	500
597	742	499
598	744	498
599	745	496
600	746	495
601	748	494
602	749	493
603	750	492
604	752	491
605	754	490
606	755	488
607	756	487
608	757	486
609	758	485
610	760	484
611	761	482
612	762	481
613	763	479
614	764	478
615	765	477
616	766	475
617	767	474
618	768	473
619	769	471
620	771	470
621	773	469
622	774	468
623	775	467
624	776	466
625	778	464
626	778	463
627	780	462
628	781	460
629	782	459
630	783	457
631	784	457
632	786	456
633	788	454
634	789	453
635	791	452
636	792	451
637	793	450
638	794	449
639	795	447
640	797	446
641	798	445
642	799	444
643	801	443
644	802	441
645	803	440
646	804	439
647	806	437
648	807	436
649	808	435
650	809	433
651	810	432
652	811	431
653	813	430
654	814	429
655	816	428
656	817	426
657	818	425
658	820	424
659	821	423
660	823	422
661	824	420
662	825	419
663	826	418
664	827	416
665	828	415
666	829	414
667	830	412
668	831	411
669	832	410
670	833	408
671	834	407
672	835	406
673	836	404
674	837	403
675	838	401
676	839	400
677	840	398
678	840	397
679	841	396
680	842	394
681	843	393
682	843	391
683	845	390
684	845	388
685	846	387
686	847	386
687	848	384
688	848	383
689	849	381
690	850	380
691	850	378
692	851	377
693	852	375
694	853	374
695	853	372
696	854	371
697	855	370
698	856	368
699	856	367
700	857	365
701	858	364
702	859	363
703	860	361
704	861	360
705	861	358
706	862	357
707	863	356
708	864	354
709	864	353
710	865	351
711	866	350
712	867	349
713	867	347
714	868	346
715	869	344
716	870	343
717	870	342
718	871	340
719	872	339
720	873	337
721	874	336
722	874	335
723	875	333
724	876	332
725	877	331
726	878	329
727	879	328
728	880	327
729	881	325
730	882	324
731	883	323
732	884	322
733	885	320
734	886	319
735	887	318
736	888	317
737	889	315
738	890	314
739	890	313
740	891	311
741	892	310
742	893	309
743	894	307
744	895	306
745	896	305
746	897	303
747	898	302
748	899	301
749	900	300
750	901	298
751	902	297
752	903	296
753	904	295
754	905	293
755	906	292
756	907	291
757	908	290
758	909	288
759	910	287
760	911	286
761	913	285
762	914	283
763	915	282
764	916	281
765	917	280
766	919	279
767	920	278
768	921	276
769	922	275
770	924	274
771	925	273
772	926	272
773	927	270
774	929	269
775	929	268
776	930	267
777	932	266
778	933	264
779	935	263
780	936	262
781	938	261
782	939	260
783	940	259
784	942	258
785	943	256
786	945	255
787	946	254
788	947	253
789	949	252
790	950	251
791	952	250
792	953	248
793	954	247
794	955	246
795	956	245
796	957	243
797	958	242
798	959	241
799	961	240
800	962	239
801	963	237
802	964	236
803	965	235
804	966	234
805	967	232
806	967	231
807	968	230
808	969	228
809	970	227
810	971	226
811	972	225
812	973	223
813	974	222
814	975	221
815	976	220
816	977	218
817	978	217
818	978	216
819	979	215
820	980	213
821	981	212
822	982	211
823	983	209
824	983	208
825	984	207
826	985	206
827	986	204
828	986	203
829	987	202
830	988	201
831	989	199
832	990	198
833	991	197
834	992	196
835	992	194
836	993	193
837	994	192
838	995	190
839	995	189
840	996	188
841	997	187
842	998	185
843	999	184
844	1000	183
845	1001	182
846	1001	180
847	1002	179
848	1003	178
849	1004	177
850	1004	175
851	1005	174
852	1006	173
853	1007	172
854	1007	170
855	1008	169
856	1009	168
857	1010	167
858	1010	165
859	1011	164
860	1012	163
861	1013	162
862	1014	161
863	1015	159
864	1015	158
865	1016	157
866	1017	156
867	1018	154
868	1019	153
869	1020	152
870	1021	151
871	1022	150
872	1023	148
873	1024	147
874	1025	146
875	1026	145
876	1027	144
877	1028	142
878	1029	141
879	1031	140
880	1032	139
881	1033	138
882	1035	137
883	1036	136
884	1038	134
885	1039	133
886	1040	132
887	1041	131
888	1042	130
889	1043	129
